Date,Bse_500_change
02/01/2023,-0.33
03/01/2023,0.36
04/01/2023,-0.2
05/01/2023,-0.37
06/01/2023,0.54
09/01/2023,0.76
10/01/2023,-0.56
11/01/2023,0.64
12/01/2023,-1.22
13/01/2023,-0.01
16/01/2023,0.34
17/01/2023,1.31
18/01/2023,0.66
19/01/2023,-0.76
20/01/2023,3.83
23/01/2023,-0.68
24/01/2023,-1.1
25/01/2023,0.5
27/01/2023,-1.06
30/01/2023,0.85
31/01/2023,-0.05
01/02/2023,-0.42
02/02/2023,0.06
03/02/2023,1.18
06/02/2023,-1.5
07/02/2023,-0.23
08/02/2023,0.67
09/02/2023,0.35
10/02/2023,1.47
13/02/2023,1.3
14/02/2023,0.56
15/02/2023,2.5
16/02/2023,1.94
17/02/2023,-0.59
20/02/2023,1.8
21/02/2023,-3.29
22/02/2023,-2.04
23/02/2023,-0.12
24/02/2023,0.92
27/02/2023,-1.27
28/02/2023,-0.39
01/03/2023,0.65
02/03/2023,-0.79
03/03/2023,-0.45
06/03/2023,1.27
08/03/2023,0.95
09/03/2023,0.97
10/03/2023,0.95
13/03/2023,1.81
14/03/2023,0.57
15/03/2023,-0.42
16/03/2023,-0.22
17/03/2023,0.22
20/03/2023,-0.86
21/03/2023,0
22/03/2023,0.92
23/03/2023,1.71
24/03/2023,0.11
27/03/2023,0.12
28/03/2023,-2.09
29/03/2023,-0.49
31/03/2023,-0.22
03/04/2023,-1.05
05/04/2023,-0.68
06/04/2023,0.46
10/04/2023,0.54
11/04/2023,-0.22
12/04/2023,0.12
13/04/2023,-1.3
17/04/2023,-0.03
18/04/2023,-0.2
19/04/2023,-1.92
20/04/2023,-1.27
21/04/2023,-0.15
24/04/2023,-0.49
25/04/2023,0.2
26/04/2023,1.52
27/04/2023,-0.79
28/04/2023,-0.03
02/05/2023,1.32
03/05/2023,0.26
04/05/2023,1.53
05/05/2023,0.08
08/05/2023,-1.86
09/05/2023,-1.02
10/05/2023,0.65
11/05/2023,-0.13
12/05/2023,-1.71
15/05/2023,0.57
16/05/2023,-0.16
17/05/2023,0.77
18/05/2023,0.3
19/05/2023,1.09
22/05/2023,-2.55
23/05/2023,-1.13
24/05/2023,-0.8
25/05/2023,-0.5
26/05/2023,0.53
29/05/2023,-2.1
30/05/2023,-0.49
31/05/2023,1.49
01/06/2023,0.46
02/06/2023,0.03
05/06/2023,-0.32
06/06/2023,0.07
07/06/2023,0.12
08/06/2023,-0.02
09/06/2023,0.43
12/06/2023,-1.9
13/06/2023,-0.83
14/06/2023,-0.67
15/06/2023,-1.13
16/06/2023,-0.07
19/06/2023,0.46
20/06/2023,-0.43
21/06/2023,0.17
22/06/2023,0.1
23/06/2023,-0.11
26/06/2023,0.17
27/06/2023,0.68
28/06/2023,0.34
30/06/2023,0.8
03/07/2023,0.65
04/07/2023,0.77
05/07/2023,-0.78
06/07/2023,0.57
07/07/2023,0.01
10/07/2023,1.48
11/07/2023,1.89
12/07/2023,-0.84
13/07/2023,0.45
14/07/2023,-0.3
17/07/2023,0.19
