Date,Btc_chnge
01/01/2023,0.99
02/01/2023,0.59
03/01/2023,-1.53
04/01/2023,-2.03
05/01/2023,-1.06
06/01/2023,-0.47
07/01/2023,0.4
08/01/2023,1.17
09/01/2023,0.42
10/01/2023,-3.93
11/01/2023,1.88
12/01/2023,2.64
13/01/2023,1.16
14/01/2023,-0.86
15/01/2023,3.29
16/01/2023,-0.36
17/01/2023,-0.27
18/01/2023,0.24
19/01/2023,-0.58
20/01/2023,1.29
21/01/2023,-1.27
22/01/2023,-0.65
23/01/2023,1.77
24/01/2023,-0.29
25/01/2023,6.43
26/01/2023,0.22
27/01/2023,2.2
28/01/2023,0.45
29/01/2023,-1.64
30/01/2023,-1.04
31/01/2023,0.41
01/02/2023,2.46
02/02/2023,-0.09
03/02/2023,-0.76
04/02/2023,1.34
05/02/2023,-0.94
06/02/2023,-0.05
07/02/2023,0.74
08/02/2023,0.3
09/02/2023,0.27
10/02/2023,6.77
11/02/2023,2.74
12/02/2023,0.13
13/02/2023,0.7
14/02/2023,-0.55
15/02/2023,1.08
16/02/2023,0.46
17/02/2023,-1.11
18/02/2023,1.02
19/02/2023,-1.83
20/02/2023,2.25
21/02/2023,4.78
22/02/2023,-3.63
23/02/2023,8.25
24/02/2023,-3.6
25/02/2023,0.98
26/02/2023,-6.18
27/02/2023,-0.38
28/02/2023,0.85
01/03/2023,0.77
02/03/2023,-3.1
03/03/2023,3.17
04/03/2023,0.22
05/03/2023,-0.33
06/03/2023,-2.09
07/03/2023,-3.23
08/03/2023,0.36
09/03/2023,-0.56
10/03/2023,-0.1
11/03/2023,1.64
12/03/2023,2.67
13/03/2023,-0.28
14/03/2023,-0.16
15/03/2023,-3.03
16/03/2023,4.98
17/03/2023,-1.55
18/03/2023,1.74
19/03/2023,-2.09
20/03/2023,0.43
21/03/2023,3.55
22/03/2023,-3.06
23/03/2023,0.9
24/03/2023,5.53
25/03/2023,-2.62
26/03/2023,-6.41
27/03/2023,-0.36
28/03/2023,-3.78
29/03/2023,-0.75
30/03/2023,3.83
31/03/2023,1.23
01/04/2023,-8.55
02/04/2023,9.52
03/04/2023,2
04/04/2023,-0.39
05/04/2023,0.6
06/04/2023,-5.04
07/04/2023,-3.08
08/04/2023,-4.93
09/04/2023,-0.31
10/04/2023,0.42
11/04/2023,-2.19
12/04/2023,1.72
13/04/2023,1.05
14/04/2023,-0.15
15/04/2023,-0.36
16/04/2023,-1.48
17/04/2023,0.07
18/04/2023,0.93
19/04/2023,-1.3
20/04/2023,2.2
21/04/2023,-1.71
22/04/2023,1
23/04/2023,0.02
24/04/2023,-0.07
25/04/2023,-0.06
26/04/2023,-0.03
27/04/2023,-1.23
28/04/2023,-3.5
29/04/2023,3.74
30/04/2023,-2.94
01/05/2023,-1.73
02/05/2023,-2.2
03/05/2023,0.97
04/05/2023,2.34
05/05/2023,-0.73
06/05/2023,-0.53
07/05/2023,-2.01
08/05/2023,-0.11
09/05/2023,0.91
10/05/2023,0.22
11/05/2023,-2.33
12/05/2023,3.87
13/05/2023,0.87
14/05/2023,-3.08
15/05/2023,0.43
16/05/2023,4.08
17/05/2023,-0.49
18/05/2023,4.1
19/05/2023,2.12
20/05/2023,-0.01
21/05/2023,-0.07
22/05/2023,-0.12
23/05/2023,2.36
24/05/2023,-2.66
25/05/2023,-1.92
26/05/2023,-5.2
27/05/2023,3.97
28/05/2023,0.13
29/05/2023,0.05
30/05/2023,1.25
31/05/2023,2.54
01/06/2023,1.07
02/06/2023,0.84
03/06/2023,-1
04/06/2023,-1.65
05/06/2023,1.07
06/06/2023,-1.57
07/06/2023,-3.64
08/06/2023,0.73
09/06/2023,4.02
10/06/2023,-0.35
11/06/2023,-2.13
12/06/2023,-0.55
13/06/2023,0.34
14/06/2023,-2.73
15/06/2023,-5.6
16/06/2023,0.08
17/06/2023,1.55
18/06/2023,2.98
19/06/2023,-0.01
20/06/2023,1.42
21/06/2023,-1.1
22/06/2023,4.69
23/06/2023,-0.78
24/06/2023,-3.72
25/06/2023,1.28
26/06/2023,0.08
27/06/2023,2.88
28/06/2023,-1.69
29/06/2023,2.85
30/06/2023,0.05
01/07/2023,-1.39
02/07/2023,0.83
03/07/2023,-1.06
04/07/2023,1.87
05/07/2023,-0.25
06/07/2023,4.25
07/07/2023,-1.17
08/07/2023,-4.97
09/07/2023,0.24
10/07/2023,-1.24
11/07/2023,0.56
12/07/2023,4.32
13/07/2023,2.24
14/07/2023,1.95
15/07/2023,0.72
16/07/2023,-0.78
17/07/2023,-0.56
18/07/2023,4.3
19/07/2023,-3.46
20/07/2023,2.82
21/07/2023,-0.82
22/07/2023,10.29
23/07/2023,4.81
24/07/2023,0.24
25/07/2023,0.85
26/07/2023,0.37
27/07/2023,8.96
28/07/2023,2.25
29/07/2023,-1.34
30/07/2023,-0.8
31/07/2023,-0.26
01/08/2023,-1.1
02/08/2023,-2.86
03/08/2023,-0.53
04/08/2023,3.97
05/08/2023,2.87
06/08/2023,1.37
07/08/2023,0.58
08/08/2023,-2.19
09/08/2023,2.29
10/08/2023,-1.13
11/08/2023,0.08
12/08/2023,-2.4
13/08/2023,0.96
14/08/2023,-0.07
15/08/2023,1.49
16/08/2023,-0.3
17/08/2023,0.81
18/08/2023,1.51
19/08/2023,5.11
20/08/2023,-0.53
21/08/2023,1.13
22/08/2023,3.62
23/08/2023,-0.52
24/08/2023,-2.46
25/08/2023,-0.14
26/08/2023,-0.91
27/08/2023,1.22
28/08/2023,-0.03
29/08/2023,2.19
30/08/2023,0.17
31/08/2023,-0.31
01/09/2023,-3.95
02/09/2023,-3.46
03/09/2023,-0.39
04/09/2023,0.14
05/09/2023,0.92
06/09/2023,3.2
07/09/2023,-1.71
08/09/2023,1.46
09/09/2023,-0.38
10/09/2023,0.35
11/09/2023,0.23
12/09/2023,0.42
13/09/2023,1.91
14/09/2023,2.4
15/09/2023,3.6
16/09/2023,-1.56
17/09/2023,-1.43
18/09/2023,-0.85
19/09/2023,4.09
20/09/2023,1.39
21/09/2023,-0.51
22/09/2023,1.03
23/09/2023,3.99
24/09/2023,1.3
25/09/2023,0.35
26/09/2023,-3.94
27/09/2023,-3.09
28/09/2023,0.86
29/09/2023,-2.8
30/09/2023,3.17
01/10/2023,-2.82
02/10/2023,-0.24
03/10/2023,-0.43
04/10/2023,0.61
05/10/2023,-0.73
06/10/2023,-5.4
07/10/2023,-2.22
08/10/2023,0.18
09/10/2023,0.17
10/10/2023,6.1
11/10/2023,-1.29
12/10/2023,3.65
13/10/2023,-0.78
14/10/2023,1.75
15/10/2023,-1.74
16/10/2023,1.03
17/10/2023,2.33
18/10/2023,-2
19/10/2023,-3.11
20/10/2023,2.1
21/10/2023,1.08
22/10/2023,-3.64
23/10/2023,0.13
24/10/2023,-1.38
25/10/2023,11.94
26/10/2023,-1.67
27/10/2023,3.85
28/10/2023,-7.16
29/10/2023,-4.21
30/10/2023,-1.27
31/10/2023,-5.96
01/11/2023,1.16
02/11/2023,-2.36
03/11/2023,-0.92
04/11/2023,-2.14
05/11/2023,0.61
06/11/2023,-0.1
07/11/2023,3.21
08/11/2023,0.66
09/11/2023,-0.86
10/11/2023,-2.39
11/11/2023,-0.89
12/11/2023,1.5
13/11/2023,0.71
14/11/2023,4.22
15/11/2023,-0.17
16/11/2023,-1.48
17/11/2023,0.41
18/11/2023,6.56
19/11/2023,2.68
20/11/2023,2.29
21/11/2023,0.96
22/11/2023,-0.71
23/11/2023,-0.5
24/11/2023,2.32
25/11/2023,1.55
26/11/2023,-4.12
27/11/2023,2.86
28/11/2023,-0.67
29/11/2023,-5.27
30/11/2023,-3.07
01/12/2023,-1.25
02/12/2023,0.22
03/12/2023,2.92
04/12/2023,0.94
05/12/2023,-2.08
06/12/2023,1.37
07/12/2023,-1.55
08/12/2023,2.52
09/12/2023,-4.59
10/12/2023,-1.66
11/12/2023,0.21
12/12/2023,-1.12
13/12/2023,-0.19
14/12/2023,-0.27
15/12/2023,-2.01
16/12/2023,-0.26
17/12/2023,0.68
18/12/2023,0.29
19/12/2023,-1.11
20/12/2023,-2.18
21/12/2023,1.4
22/12/2023,-3.19
23/12/2023,-0.16
24/12/2023,0.49
25/12/2023,-0.05
26/12/2023,-2.04
27/12/2023,-0.41
28/12/2023,0.76
29/12/2023,2.53
30/12/2023,1.53
31/12/2023,0.02
01/01/2024,0.34
02/01/2024,-1.21
03/01/2024,1.06
04/01/2024,-1.07
05/01/2024,-1.53
06/01/2024,1.33
07/01/2024,-1.11
08/01/2024,1.07
09/01/2024,0.84
10/01/2024,-1.71
11/01/2024,-1.4
12/01/2024,-1.8
13/01/2024,7.76
14/01/2024,-0.95
15/01/2024,-0.18
16/01/2024,2.77
17/01/2024,-1.5
18/01/2024,7.56
19/01/2024,-2.17
20/01/2024,2.37
21/01/2024,1.07
22/01/2024,0.05
23/01/2024,-3.61
24/01/2024,3.05
25/01/2024,-1.78
26/01/2024,-1.34
27/01/2024,-1.32
28/01/2024,0.18
29/01/2024,1.61
30/01/2024,6.35
31/01/2024,1.35
01/02/2024,-3.85
02/02/2024,-5
03/02/2024,1.19
04/02/2024,-0.55
05/02/2024,-0.49
06/02/2024,-1.13
07/02/2024,0.33
08/02/2024,-3.21
09/02/2024,-0.62
10/02/2024,2.91
11/02/2024,-0.03
12/02/2024,1.82
13/02/2024,0.5
14/02/2024,3.59
15/02/2024,-3.96
16/02/2024,0.62
17/02/2024,-3.48
18/02/2024,2.89
19/02/2024,-4.92
20/02/2024,-4.08
21/02/2024,-0.86
22/02/2024,2.13
23/02/2024,-3.47
24/02/2024,3.27
25/02/2024,0.68
26/02/2024,1.56
27/02/2024,-0.97
28/02/2024,3.84
29/02/2024,0.8
01/03/2024,-6.07
02/03/2024,-2.34
03/03/2024,2.47
04/03/2024,-0.37
05/03/2024,-1.26
06/03/2024,1.9
07/03/2024,-0.8
08/03/2024,0.15
09/03/2024,3.99
10/03/2024,4.96
11/03/2024,0.4
12/03/2024,-2.62
13/03/2024,-3.46
14/03/2024,9.35
15/03/2024,-8.2
16/03/2024,-1.17
17/03/2024,4.71
18/03/2024,-5.97
19/03/2024,-2.69
20/03/2024,-2.3
21/03/2024,2.23
22/03/2024,-0.87
23/03/2024,4.54
24/03/2024,0.88
25/03/2024,0.29
26/03/2024,1.97
27/03/2024,1.17
28/03/2024,3.59
29/03/2024,-6.56
30/03/2024,8.13
31/03/2024,1.84
01/04/2024,-0.65
02/04/2024,2.01
03/04/2024,-2.08
04/04/2024,9.48
05/04/2024,4.7
06/04/2024,5.36
07/04/2024,0.29
08/04/2024,1.64
09/04/2024,-1.13
10/04/2024,-1.04
11/04/2024,-0.78
12/04/2024,0.93
13/04/2024,-0.64
14/04/2024,0.91
15/04/2024,-0.94
16/04/2024,0.45
17/04/2024,0.23
18/04/2024,4.16
19/04/2024,-0.45
20/04/2024,3.45
21/04/2024,1.09
22/04/2024,1.34
23/04/2024,4.05
24/04/2024,2.15
25/04/2024,2.91
