Date,ETH_chng
01/01/2023,0.37
02/01/2023,-0.13
03/01/2023,-3.84
04/01/2023,-1.82
05/01/2023,0.76
06/01/2023,3.78
07/01/2023,0.5
08/01/2023,0.86
09/01/2023,0.11
10/01/2023,-5.15
11/01/2023,4.4
12/01/2023,1.09
13/01/2023,-0.17
14/01/2023,1.17
15/01/2023,0.97
16/01/2023,-2.44
17/01/2023,-0.44
18/01/2023,-2.36
19/01/2023,-2.63
20/01/2023,7.39
21/01/2023,-0.77
22/01/2023,-2.65
23/01/2023,10.17
24/01/2023,6.31
25/01/2023,21.8
26/01/2023,-0.3
27/01/2023,-0.21
28/01/2023,0.62
29/01/2023,-1.36
30/01/2023,-0.44
31/01/2023,0.2
01/02/2023,2.49
02/02/2023,-0.27
03/02/2023,-0.04
04/02/2023,0.44
05/02/2023,-1.61
06/02/2023,1.94
07/02/2023,0.93
08/02/2023,-1.42
09/02/2023,2.22
10/02/2023,11.18
11/02/2023,-0.48
12/02/2023,-1.57
13/02/2023,1.49
14/02/2023,0.39
15/02/2023,0.35
16/02/2023,-0.73
17/02/2023,-2.15
18/02/2023,1.62
19/02/2023,-2.82
20/02/2023,4.94
21/02/2023,2.93
22/02/2023,-8.84
23/02/2023,13.33
24/02/2023,-5.13
25/02/2023,-1.75
26/02/2023,-12.5
27/02/2023,-0.54
28/02/2023,-0.01
01/03/2023,1.17
02/03/2023,-5.74
03/03/2023,4.56
04/03/2023,0.83
05/03/2023,-1.14
06/03/2023,-3.63
07/03/2023,-5.34
08/03/2023,-0.29
09/03/2023,-2.74
10/03/2023,-0.6
11/03/2023,3.62
12/03/2023,1.27
13/03/2023,0.77
14/03/2023,-0.91
15/03/2023,-3.55
16/03/2023,6.42
17/03/2023,0.32
18/03/2023,2.05
19/03/2023,-2.56
20/03/2023,1.34
21/03/2023,2.52
22/03/2023,-2.28
23/03/2023,-0.73
24/03/2023,3.1
25/03/2023,-7.7
26/03/2023,-8.34
27/03/2023,2.92
28/03/2023,-2.78
29/03/2023,-1.75
30/03/2023,3.29
31/03/2023,0.99
01/04/2023,-14.66
02/04/2023,13.56
03/04/2023,-0.84
04/04/2023,-3.09
05/04/2023,-1.29
06/04/2023,-6.33
07/04/2023,-0.59
08/04/2023,-10.95
