Date,HLL_change
02/01/2023,-0.78
03/01/2023,0.2
04/01/2023,-0.76
05/01/2023,-0.58
06/01/2023,1.48
09/01/2023,1.22
10/01/2023,-1.4
11/01/2023,0.97
12/01/2023,-1.75
13/01/2023,0.05
16/01/2023,1.11
17/01/2023,0.2
18/01/2023,-0.4
19/01/2023,-0.94
20/01/2023,2.13
23/01/2023,-0.93
24/01/2023,-0.67
25/01/2023,-0.46
27/01/2023,1.41
30/01/2023,1.06
31/01/2023,-0.78
01/02/2023,0.88
02/02/2023,0.13
03/02/2023,-0.58
06/02/2023,0.3
07/02/2023,-4.06
08/02/2023,1.05
09/02/2023,2.03
10/02/2023,-1.01
13/02/2023,0.35
14/02/2023,0.22
15/02/2023,-0.2
16/02/2023,0.69
17/02/2023,2.65
20/02/2023,1.77
21/02/2023,0.22
22/02/2023,0
23/02/2023,0.3
24/02/2023,0.18
27/02/2023,-1.11
28/02/2023,0.63
01/03/2023,-0.06
02/03/2023,-1.12
03/03/2023,0.67
06/03/2023,0.45
08/03/2023,0.17
09/03/2023,1.92
10/03/2023,-0.06
13/03/2023,1.39
14/03/2023,-0.16
15/03/2023,-0.83
16/03/2023,-1.08
17/03/2023,-1.37
20/03/2023,1.96
21/03/2023,-0.65
22/03/2023,2.23
23/03/2023,0.61
24/03/2023,-0.9
27/03/2023,-0.61
28/03/2023,-2.44
29/03/2023,-0.64
31/03/2023,0.8
03/04/2023,-0.01
05/04/2023,-0.28
06/04/2023,-0.1
10/04/2023,-1.99
11/04/2023,-1.43
12/04/2023,0.48
13/04/2023,-0.14
17/04/2023,-0.47
18/04/2023,0.75
19/04/2023,-1.96
20/04/2023,-0.1
21/04/2023,-0.37
24/04/2023,-0.77
25/04/2023,-1.93
26/04/2023,-0.16
27/04/2023,-2.56
28/04/2023,1.51
02/05/2023,2.49
03/05/2023,1.04
04/05/2023,-0.21
05/05/2023,-0.17
08/05/2023,1.05
09/05/2023,2
10/05/2023,-0.91
11/05/2023,0.1
12/05/2023,-0.2
15/05/2023,-0.37
16/05/2023,0.38
17/05/2023,-1.18
18/05/2023,0.21
19/05/2023,-3.39
22/05/2023,0.37
23/05/2023,0.27
24/05/2023,1.43
25/05/2023,0.43
26/05/2023,0.61
29/05/2023,-1.25
30/05/2023,1.53
31/05/2023,2.06
01/06/2023,-0.2
02/06/2023,-0.71
05/06/2023,0.1
06/06/2023,0.36
07/06/2023,-0.12
08/06/2023,-0.14
09/06/2023,0.21
12/06/2023,-1.1
13/06/2023,0.03
14/06/2023,-0.17
15/06/2023,-0.12
16/06/2023,-1
19/06/2023,1.93
20/06/2023,-2.35
21/06/2023,0.17
22/06/2023,-0.14
23/06/2023,-3.34
26/06/2023,-0.43
27/06/2023,1.22
28/06/2023,-0.74
30/06/2023,0.15
03/07/2023,-0.68
04/07/2023,1.38
05/07/2023,-0.99
06/07/2023,0.31
07/07/2023,0.31
10/07/2023,1.07
11/07/2023,2.62
12/07/2023,-1.14
13/07/2023,-0.52
14/07/2023,1.41
17/07/2023,-3.07
18/07/2023,0.14
19/07/2023,-1.19
20/07/2023,-0.66
21/07/2023,1.3
24/07/2023,-1.01
25/07/2023,-0.42
26/07/2023,-0.14
27/07/2023,-0.5
28/07/2023,0.37
31/07/2023,-1.05
01/08/2023,0.29
02/08/2023,-1.09
03/08/2023,1.89
04/08/2023,0.92
07/08/2023,-5.8
08/08/2023,-0.84
09/08/2023,-0.44
10/08/2023,-0.87
11/08/2023,-0.79
14/08/2023,-1.53
16/08/2023,-0.01
17/08/2023,-0.27
18/08/2023,0.21
21/08/2023,1.03
22/08/2023,-0.51
23/08/2023,-1.77
24/08/2023,-0.52
25/08/2023,-0.54
28/08/2023,-1.54
29/08/2023,-1.04
30/08/2023,-1.17
31/08/2023,-0.27
01/09/2023,-0.66
04/09/2023,1.26
05/09/2023,-0.05
06/09/2023,-2.58
07/09/2023,1.71
08/09/2023,2.26
11/09/2023,1.25
12/09/2023,0.08
13/09/2023,0.22
14/09/2023,-2.25
15/09/2023,-0.79
18/09/2023,1.8
20/09/2023,0.19
21/09/2023,-0.79
22/09/2023,2.92
