Date,Ind_10Y
02/01/2023,0.32
03/01/2023,0.32
04/01/2023,-0.65
05/01/2023,0
06/01/2023,-0.16
09/01/2023,0
10/01/2023,0.32
11/01/2023,-0.48
12/01/2023,-0.16
13/01/2023,0.16
16/01/2023,0
17/01/2023,-0.18
18/01/2023,-0.18
19/01/2023,-0.68
20/01/2023,-1.44
23/01/2023,-0.28
24/01/2023,0.92
25/01/2023,-0.2
27/01/2023,0.43
30/01/2023,-0.52
31/01/2023,-0.03
01/02/2023,0.25
02/02/2023,-0.28
03/02/2023,0.63
04/02/2023,-0.16
06/02/2023,0.16
07/02/2023,0
08/02/2023,-0.78
09/02/2023,-0.31
10/02/2023,-0.31
13/02/2023,-0.47
14/02/2023,0
15/02/2023,-0.46
16/02/2023,-0.15
17/02/2023,0.31
20/02/2023,-0.62
21/02/2023,0.31
22/02/2023,-1.52
23/02/2023,-0.15
24/02/2023,-0.15
27/02/2023,-0.45
28/02/2023,0.15
01/03/2023,0
02/03/2023,-0.3
03/03/2023,-0.3
06/03/2023,-0.15
08/03/2023,-0.3
09/03/2023,0
10/03/2023,0.15
13/03/2023,-0.15
14/03/2023,-0.15
15/03/2023,0.3
16/03/2023,0
17/03/2023,-0.45
20/03/2023,-0.45
21/03/2023,0.15
23/03/2023,0.15
24/03/2023,0.15
27/03/2023,0.06
28/03/2023,0.09
29/03/2023,-0.12
31/03/2023,0.07
03/04/2023,0.31
05/04/2023,-0.15
06/04/2023,-0.19
10/04/2023,-0.1
11/04/2023,0.22
12/04/2023,0
13/04/2023,-0.24
17/04/2023,0.21
18/04/2023,0.63
19/04/2023,-0.11
20/04/2023,-0.12
21/04/2023,0.03
24/04/2023,-0.36
25/04/2023,0.24
26/04/2023,-0.07
27/04/2023,0.03
28/04/2023,0.09
02/05/2023,-0.67
03/05/2023,-0.24
04/05/2023,0.25
08/05/2023,-0.22
09/05/2023,-0.43
10/05/2023,-0.16
11/05/2023,0.3
12/05/2023,-0.87
15/05/2023,-0.23
16/05/2023,-0.2
17/05/2023,1.09
18/05/2023,0.07
19/05/2023,-0.04
22/05/2023,0.31
23/05/2023,-0.25
24/05/2023,-0.24
25/05/2023,-0.12
26/05/2023,0.12
29/05/2023,0.3
30/05/2023,-0.24
31/05/2023,-0.18
01/06/2023,0.04
02/06/2023,0.12
05/06/2023,0
06/06/2023,-0.22
07/06/2023,0.06
08/06/2023,0.53
09/06/2023,-0.12
12/06/2023,0.27
13/06/2023,0.18
14/06/2023,-0.1
15/06/2023,0.27
16/06/2023,0.19
19/06/2023,-0.18
20/06/2023,-0.34
21/06/2023,0.9
22/06/2023,-0.09
23/06/2023,-0.42
26/06/2023,0.06
27/06/2023,-0.61
28/06/2023,-0.79
30/06/2023,-0.1
03/07/2023,-0.22
04/07/2023,0.07
05/07/2023,-0.41
06/07/2023,0.28
07/07/2023,0.29
10/07/2023,-0.15
11/07/2023,-0.09
12/07/2023,0.34
13/07/2023,0.13
14/07/2023,0.15
17/07/2023,0.16
18/07/2023,-0.32
19/07/2023,-0.03
20/07/2023,-0.01
21/07/2023,0.03
24/07/2023,-0.64
25/07/2023,0.21
26/07/2023,-0.29
