Date,Ind_vix_chg
02/01/2023,-2.09
03/01/2023,-8.87
04/01/2023,-2.79
05/01/2023,2.86
06/01/2023,4.3
09/01/2023,0.12
10/01/2023,-1.65
11/01/2023,0.93
12/01/2023,0.17
13/01/2023,4.86
16/01/2023,-2.03
17/01/2023,-1.93
18/01/2023,-5.36
19/01/2023,-1.05
20/01/2023,-14.98
23/01/2023,2.98
24/01/2023,10.22
25/01/2023,0.34
27/01/2023,3.59
30/01/2023,0.44
31/01/2023,0.19
01/02/2023,4.91
02/02/2023,2.54
03/02/2023,-1.27
06/02/2023,5.58
07/02/2023,1.82
08/02/2023,4.79
09/02/2023,-1.84
10/02/2023,0.31
13/02/2023,-2.51
14/02/2023,-1.61
15/02/2023,-19.81
16/02/2023,-6.17
17/02/2023,4.83
20/02/2023,-10.31
21/02/2023,65.7
22/02/2023,1.14
23/02/2023,-0.89
24/02/2023,-0.44
27/02/2023,8.37
28/02/2023,-4.38
01/03/2023,-1.26
02/03/2023,-1.21
03/03/2023,-0.47
06/03/2023,8.95
08/03/2023,-0.22
09/03/2023,-5.23
10/03/2023,0.66
13/03/2023,-1.53
14/03/2023,1.02
15/03/2023,-3.01
16/03/2023,-2.7
17/03/2023,0.63
20/03/2023,3.82
21/03/2023,-1.86
22/03/2023,0.4
23/03/2023,-1.16
24/03/2023,0.49
27/03/2023,-1.06
28/03/2023,4.53
29/03/2023,-2.97
31/03/2023,-5.04
03/04/2023,-0.6
05/04/2023,-1.04
06/04/2023,-4.78
10/04/2023,-1.56
11/04/2023,-0.37
12/04/2023,4.71
13/04/2023,0.4
17/04/2023,0.4
18/04/2023,0.17
19/04/2023,2.94
20/04/2023,5.55
21/04/2023,-3.46
24/04/2023,0.66
25/04/2023,0.46
26/04/2023,-2.33
27/04/2023,1.83
28/04/2023,-13.25
02/05/2023,-6.57
03/05/2023,-6.71
04/05/2023,2.45
05/05/2023,0.34
08/05/2023,8.29
09/05/2023,0.3
10/05/2023,-0.46
11/05/2023,-1.66
12/05/2023,3.9
15/05/2023,4.24
16/05/2023,1.83
17/05/2023,1.36
18/05/2023,-1.37
19/05/2023,-3.3
22/05/2023,7.26
23/05/2023,1.76
24/05/2023,1.33
25/05/2023,-1.33
26/05/2023,-6.33
29/05/2023,15.58
30/05/2023,-1.44
31/05/2023,-5.31
01/06/2023,0.42
02/06/2023,3.4
05/06/2023,5.55
06/06/2023,-5.68
07/06/2023,6.51
08/06/2023,-2.53
09/06/2023,-10.3
12/06/2023,3.88
13/06/2023,0.96
14/06/2023,-0.78
15/06/2023,3.32
16/06/2023,7.41
19/06/2023,-1.04
20/06/2023,-0.58
21/06/2023,-3.7
22/06/2023,-2.34
23/06/2023,-0.23
26/06/2023,-2.67
27/06/2023,0.54
28/06/2023,0.54
30/06/2023,-2.23
03/07/2023,1.91
04/07/2023,-5.13
05/07/2023,3.97
06/07/2023,-4.44
07/07/2023,0.02
10/07/2023,-4.94
11/07/2023,0.67
12/07/2023,2.09
13/07/2023,3.26
14/07/2023,2.66
17/07/2023,-4.28
18/07/2023,5.79
19/07/2023,2.24
20/07/2023,-1.38
21/07/2023,-3.15
24/07/2023,0.49
25/07/2023,-7.78
26/07/2023,-3.39
27/07/2023,4.94
28/07/2023,2.27
31/07/2023,0.26
01/08/2023,6.85
02/08/2023,1.57
03/08/2023,-2.34
04/08/2023,4.74
07/08/2023,-4.46
08/08/2023,1.58
09/08/2023,4.6
10/08/2023,5.56
11/08/2023,-2.61
14/08/2023,2.57
16/08/2023,0.38
17/08/2023,0.06
18/08/2023,-1.7
21/08/2023,-2.04
22/08/2023,-4.44
23/08/2023,-3.19
24/08/2023,-3.27
25/08/2023,6.74
28/08/2023,7.27
29/08/2023,9.86
30/08/2023,-6.26
31/08/2023,6.9
01/09/2023,-0.33
04/09/2023,-5.81
05/09/2023,-4.85
06/09/2023,-2.85
07/09/2023,7.78
08/09/2023,2.57
