Date,Us_index_Chg
20/02/2025,-0.09
21/02/2025,0.11
23/02/2025,-0.13
24/02/2025,0.42
25/02/2025,-0.06
26/02/2025,-0.01
27/02/2025,0
28/02/2025,-0.9
02/03/2025,0.01
03/03/2025,0
04/03/2025,-0.05
05/03/2025,0.06
06/03/2025,-0.18
07/03/2025,0.1
09/03/2025,-0.02
10/03/2025,-0.02
11/03/2025,-0.03
12/03/2025,-0.06
13/03/2025,0.13
14/03/2025,-0.19
16/03/2025,0.03
17/03/2025,0.02
18/03/2025,0.18
19/03/2025,0.04
20/03/2025,-0.12
21/03/2025,-0.25
23/03/2025,-0.04
24/03/2025,0.05
25/03/2025,-0.05
26/03/2025,0.08
27/03/2025,0.17
28/03/2025,0.28
30/03/2025,0.12
31/03/2025,-0.09
01/04/2025,0.45
02/04/2025,-0.02
03/04/2025,-0.04
04/04/2025,-0.03
06/04/2025,-0.02
07/04/2025,0.01
08/04/2025,0.03
09/04/2025,-0.11
10/04/2025,0.08
11/04/2025,-2.11
13/04/2025,-1.96
14/04/2025,-0.03
15/04/2025,-0.08
16/04/2025,0.56
17/04/2025,-0.13
18/04/2025,1.48
20/04/2025,0.06
21/04/2025,-0.34
22/04/2025,-0.12
23/04/2025,-0.02
24/04/2025,0.03
25/04/2025,-0.13
27/04/2025,0
28/04/2025,0.11
29/04/2025,0.01
30/04/2025,0.02
01/05/2025,-0.09
02/05/2025,0.36
04/05/2025,-0.02
05/05/2025,-0.08
06/05/2025,0.03
07/05/2025,0.05
08/05/2025,-0.01
09/05/2025,-0.12
11/05/2025,-0.02
12/05/2025,0
13/05/2025,0.06
14/05/2025,-0.04
15/05/2025,-0.14
16/05/2025,-0.1
18/05/2025,0
19/05/2025,-0.02
20/05/2025,0.02
21/05/2025,0.02
22/05/2025,-0.05
23/05/2025,1.14
25/05/2025,0.06
26/05/2025,-0.04
27/05/2025,-0.04
28/05/2025,0.1
29/05/2025,-0.07
30/05/2025,-0.52
01/06/2025,-0.02
