Date,Nikkei_chg
04/01/2023,-0.92
05/01/2023,-1.22
06/01/2023,1.88
10/01/2023,0
11/01/2023,0.51
12/01/2023,0.84
13/01/2023,0.16
16/01/2023,0.47
17/01/2023,-0.84
18/01/2023,-0.61
19/01/2023,0.08
20/01/2023,-0.29
23/01/2023,-0.39
24/01/2023,0
25/01/2023,-0.98
26/01/2023,-0.14
27/01/2023,1.43
30/01/2023,0.38
31/01/2023,1.56
01/02/2023,0.41
02/02/2023,-0.14
03/02/2023,1.04
06/02/2023,1.13
07/02/2023,0.57
08/02/2023,0.38
09/02/2023,1.9
10/02/2023,0.49
13/02/2023,1.89
14/02/2023,-0.17
15/02/2023,-1.3
16/02/2023,1.03
17/02/2023,1.35
20/02/2023,-1.01
21/02/2023,0.84
22/02/2023,1.18
24/02/2023,-2.96
27/02/2023,9.13
28/02/2023,-3.93
01/03/2023,6.03
02/03/2023,-7.83
03/03/2023,-2.75
06/03/2023,-2.77
07/03/2023,0.28
08/03/2023,0.02
09/03/2023,-4.05
10/03/2023,-1.8
13/03/2023,-0.6
14/03/2023,0.65
15/03/2023,0.46
16/03/2023,-0.18
17/03/2023,-0.2
20/03/2023,-0.25
22/03/2023,1.2
23/03/2023,0.93
24/03/2023,0.72
27/03/2023,-0.08
28/03/2023,0.07
29/03/2023,-0.64
30/03/2023,0.38
31/03/2023,-2.17
03/04/2023,0.77
04/04/2023,0.23
05/04/2023,-1.2
06/04/2023,1.7
07/04/2023,-2.88
10/04/2023,0.3
11/04/2023,-0.25
12/04/2023,-1.39
13/04/2023,0.26
14/04/2023,-1.24
17/04/2023,-0.27
18/04/2023,0.25
19/04/2023,0.06
20/04/2023,-0.79
21/04/2023,1.28
24/04/2023,0.42
25/04/2023,0.04
26/04/2023,-0.72
27/04/2023,0.61
28/04/2023,0.09
01/05/2023,0.72
02/05/2023,-2.66
08/05/2023,0.15
09/05/2023,0.25
10/05/2023,1.02
11/05/2023,-1.39
12/05/2023,-0.92
15/05/2023,-0.07
16/05/2023,0.79
17/05/2023,1.58
18/05/2023,0.32
19/05/2023,1.17
22/05/2023,-0.31
23/05/2023,0.33
24/05/2023,-0.08
25/05/2023,-1.83
26/05/2023,-1.05
29/05/2023,-0.94
30/05/2023,-0.26
31/05/2023,1.97
01/06/2023,-1.47
02/06/2023,-0.96
05/06/2023,1.8
06/06/2023,1.12
07/06/2023,0.24
08/06/2023,-0.32
09/06/2023,1.19
12/06/2023,-0.29
13/06/2023,-0.69
14/06/2023,-0.72
15/06/2023,-0.24
16/06/2023,-0.03
19/06/2023,-0.95
20/06/2023,1.21
21/06/2023,0.01
22/06/2023,0.53
23/06/2023,0.18
26/06/2023,-0.77
27/06/2023,0.3
28/06/2023,0.07
29/06/2023,1.91
30/06/2023,0.8
03/07/2023,-0.37
04/07/2023,0.56
05/07/2023,-0.8
06/07/2023,-0.87
07/07/2023,1.3
10/07/2023,0.68
11/07/2023,-0.85
12/07/2023,-0.16
13/07/2023,0.51
14/07/2023,-1.09
18/07/2023,0.28
19/07/2023,-0.48
20/07/2023,-1.66
21/07/2023,-0.4
24/07/2023,0.08
25/07/2023,0.3
26/07/2023,-0.25
27/07/2023,2.61
28/07/2023,1.11
31/07/2023,-2.63
01/08/2023,-0.5
02/08/2023,0.96
03/08/2023,0.77
04/08/2023,1.82
07/08/2023,-0.6
08/08/2023,0.1
09/08/2023,-0.8
10/08/2023,-1.39
14/08/2023,-0.07
15/08/2023,0.18
16/08/2023,-0.69
17/08/2023,-1.83
18/08/2023,0.77
21/08/2023,0.57
22/08/2023,0.26
23/08/2023,0.87
24/08/2023,-1
25/08/2023,1.8
28/08/2023,0.22
29/08/2023,1.97
30/08/2023,-2.18
31/08/2023,1.93
01/09/2023,-4.8
04/09/2023,2.32
05/09/2023,2.79
06/09/2023,-0.19
07/09/2023,0.57
08/09/2023,1.53
11/09/2023,2.13
12/09/2023,0.49
13/09/2023,-1.03
14/09/2023,-0.68
15/09/2023,3.41
19/09/2023,-1.49
20/09/2023,-0.16
21/09/2023,-0.48
22/09/2023,-0.72
25/09/2023,-1.05
26/09/2023,-4.24
27/09/2023,-0.04
28/09/2023,0.14
29/09/2023,0.74
02/10/2023,-0.02
03/10/2023,0.22
04/10/2023,0.47
05/10/2023,-0.66
06/10/2023,0.4
10/10/2023,0.68
11/10/2023,-0.29
12/10/2023,1.8
13/10/2023,-1.77
16/10/2023,3.64
17/10/2023,0.78
18/10/2023,0.58
19/10/2023,3.45
20/10/2023,0.56
23/10/2023,-0.74
24/10/2023,1.19
25/10/2023,10.23
26/10/2023,-12.4
27/10/2023,-5.81
30/10/2023,-2.49
31/10/2023,1.49
01/11/2023,0.15
02/11/2023,2.13
06/11/2023,-0.53
07/11/2023,-3.28
08/11/2023,-1.11
09/11/2023,-0.01
10/11/2023,-1.16
13/11/2023,-0.16
14/11/2023,-2.36
15/11/2023,-0.43
16/11/2023,0.2
17/11/2023,-2.45
20/11/2023,0.94
21/11/2023,0.61
22/11/2023,1.96
24/11/2023,-0.32
27/11/2023,0
28/11/2023,0.82
29/11/2023,1.26
30/11/2023,1.12
01/12/2023,0.12
04/12/2023,0.61
05/12/2023,-0.82
06/12/2023,1.26
07/12/2023,0.95
08/12/2023,0.54
11/12/2023,-0.09
12/12/2023,0.16
13/12/2023,0.23
14/12/2023,1
15/12/2023,-1.83
18/12/2023,0.24
19/12/2023,-0.4
20/12/2023,-0.66
21/12/2023,0.25
22/12/2023,0.92
25/12/2023,-0.05
26/12/2023,0.55
27/12/2023,-0.89
28/12/2023,-0.22
29/12/2023,1.13
04/01/2024,1.14
05/01/2024,-1.3
09/01/2024,-0.77
10/01/2024,-0.11
11/01/2024,0.66
12/01/2024,-1.17
15/01/2024,1.26
16/01/2024,-0.85
17/01/2024,-0.31
18/01/2024,0.73
19/01/2024,-0.34
22/01/2024,1.39
23/01/2024,0.08
24/01/2024,0.46
25/01/2024,-0.13
26/01/2024,0.41
29/01/2024,-0.34
30/01/2024,-1.63
31/01/2024,1.57
01/02/2024,-0.1
02/02/2024,-0.34
05/02/2024,1.24
06/02/2024,0.81
07/02/2024,-2.16
08/02/2024,2.42
09/02/2024,0.3
13/02/2024,1
14/02/2024,-2.66
15/02/2024,0.31
16/02/2024,-1.32
19/02/2024,-1.94
20/02/2024,-0.74
21/02/2024,0.21
22/02/2024,-0.35
26/02/2024,-0.48
27/02/2024,1.08
28/02/2024,0.91
29/02/2024,-1.96
01/03/2024,0.81
04/03/2024,-0.97
05/03/2024,0.09
06/03/2024,-1.4
07/03/2024,0.5
08/03/2024,-1.46
11/03/2024,0.9
12/03/2024,-0.04
13/03/2024,-1.16
14/03/2024,0.18
15/03/2024,2.03
18/03/2024,0.66
19/03/2024,2.67
21/03/2024,-0.26
22/03/2024,0.29
25/03/2024,-0.26
26/03/2024,-0.06
27/03/2024,-2.19
28/03/2024,0.23
29/03/2024,-1.23
01/04/2024,-0.02
02/04/2024,-0.03
03/04/2024,0.5
04/04/2024,1.9
05/04/2024,-0.11
08/04/2024,-0.08
09/04/2024,0.01
10/04/2024,0.35
11/04/2024,2.19
12/04/2024,-0.26
15/04/2024,-0.28
16/04/2024,-0.04
17/04/2024,0.86
18/04/2024,1.21
19/04/2024,-0.69
22/04/2024,2.89
23/04/2024,0.09
24/04/2024,2.06
25/04/2024,-0.11
26/04/2024,-0.53
30/04/2024,0.54
01/05/2024,0.41
02/05/2024,-0.76
07/05/2024,0.61
08/05/2024,0.11
09/05/2024,0.77
10/05/2024,-1.34
13/05/2024,0.03
14/05/2024,-0.8
15/05/2024,-0.08
16/05/2024,1.62
17/05/2024,1.4
20/05/2024,-0.03
21/05/2024,-0.4
22/05/2024,-0.79
23/05/2024,0.91
24/05/2024,1.5
27/05/2024,1.77
28/05/2024,2.01
29/05/2024,1.16
30/05/2024,0.27
31/05/2024,-0.53
03/06/2024,-0.22
04/06/2024,-0.42
05/06/2024,1.13
06/06/2024,0.16
07/06/2024,0.26
10/06/2024,0.09
11/06/2024,-1.59
12/06/2024,1.37
13/06/2024,1.41
14/06/2024,-0.64
17/06/2024,0.87
18/06/2024,-0.73
19/06/2024,0.25
20/06/2024,0.16
21/06/2024,1.5
24/06/2024,-1.68
25/06/2024,-1.76
26/06/2024,2.04
27/06/2024,-1.37
28/06/2024,-0.6
01/07/2024,-0.17
02/07/2024,0.5
03/07/2024,-0.26
04/07/2024,-0.12
05/07/2024,-0.53
08/07/2024,0.52
09/07/2024,0.29
10/07/2024,-0.1
11/07/2024,-0.59
12/07/2024,0.48
16/07/2024,-0.28
17/07/2024,2.52
18/07/2024,0.34
19/07/2024,0.05
22/07/2024,-0.24
23/07/2024,1.49
24/07/2024,-0.33
25/07/2024,-1.34
26/07/2024,2.37
29/07/2024,1.1
30/07/2024,2.41
31/07/2024,0.53
01/08/2024,-0.95
02/08/2024,1.27
05/08/2024,-2.14
06/08/2024,0.67
07/08/2024,0.2
08/08/2024,-0.83
09/08/2024,-0.54
13/08/2024,-1.91
14/08/2024,0.01
15/08/2024,1.2
16/08/2024,-2.03
19/08/2024,-0.55
20/08/2024,1.75
21/08/2024,0.6
22/08/2024,2.43
23/08/2024,-0.26
26/08/2024,1.8
27/08/2024,-2.28
28/08/2024,-1.64
29/08/2024,-0.31
30/08/2024,-0.05
02/09/2024,-1.54
03/09/2024,0.18
04/09/2024,-1.11
05/09/2024,0.85
06/09/2024,-0.52
09/09/2024,-1.37
10/09/2024,-0.66
11/09/2024,-0.87
12/09/2024,1.1
13/09/2024,1.41
17/09/2024,-0.21
18/09/2024,0.95
19/09/2024,-0.43
20/09/2024,-1.16
24/09/2024,-0.75
25/09/2024,0.62
26/09/2024,0.3
27/09/2024,0.7
30/09/2024,0.28
01/10/2024,0.88
02/10/2024,0.33
03/10/2024,0.18
04/10/2024,1.73
07/10/2024,-2.05
08/10/2024,0.87
09/10/2024,0.48
10/10/2024,0.92
11/10/2024,0.37
15/10/2024,-0.55
16/10/2024,-0.44
17/10/2024,-1.46
18/10/2024,0.56
21/10/2024,-1.27
