Date,S&P_chg
03/01/2023,-0.01
04/01/2023,0.4
05/01/2023,-0.56
06/01/2023,2.05
09/01/2023,-0.67
10/01/2023,-0.04
11/01/2023,-1.61
12/01/2023,-0.39
13/01/2023,0.09
17/01/2023,0.7
18/01/2023,0.41
19/01/2023,0.1
20/01/2023,0.72
23/01/2023,3.26
24/01/2023,-0.07
25/01/2023,0.58
26/01/2023,0.43
27/01/2023,-0.77
30/01/2023,-0.64
31/01/2023,1.47
01/02/2023,0.63
02/02/2023,0.15
03/02/2023,0.58
06/02/2023,0.06
07/02/2023,0.74
08/02/2023,2.03
09/02/2023,1.67
10/02/2023,2.51
13/02/2023,-2.36
14/02/2023,0.13
15/02/2023,-2.24
16/02/2023,-0.17
17/02/2023,0.79
21/02/2023,1.81
22/02/2023,-3.46
23/02/2023,9.52
24/02/2023,-1.57
27/02/2023,-0.23
28/02/2023,-5.97
01/03/2023,-4.84
02/03/2023,0.67
03/03/2023,0.38
06/03/2023,0.55
07/03/2023,-1.97
08/03/2023,-0.33
09/03/2023,-1.12
10/03/2023,0.16
13/03/2023,1.76
14/03/2023,0.08
15/03/2023,-0.22
16/03/2023,1.08
17/03/2023,-1.07
20/03/2023,0.64
21/03/2023,2.13
22/03/2023,-1.39
23/03/2023,0.49
24/03/2023,-0.76
27/03/2023,-2.7
28/03/2023,0.55
29/03/2023,-1.78
30/03/2023,1.12
31/03/2023,-1.22
03/04/2023,-1.76
04/04/2023,1.59
05/04/2023,-1.59
06/04/2023,0.01
10/04/2023,-0.47
11/04/2023,-0.5
12/04/2023,-1.71
13/04/2023,-0.43
14/04/2023,0.24
17/04/2023,0.24
18/04/2023,-0.01
19/04/2023,1.04
20/04/2023,-0.27
21/04/2023,0.03
24/04/2023,0.67
25/04/2023,-0.95
26/04/2023,0.36
27/04/2023,0.39
28/04/2023,0.72
01/05/2023,-0.76
02/05/2023,-0.5
03/05/2023,0.53
04/05/2023,-0.47
05/05/2023,0.92
08/05/2023,-1.46
09/05/2023,-0.29
10/05/2023,0.53
11/05/2023,0.61
12/05/2023,0.88
15/05/2023,1
16/05/2023,-0.21
17/05/2023,1.83
18/05/2023,0.11
19/05/2023,0.16
22/05/2023,-1.54
23/05/2023,0.16
24/05/2023,-1.11
25/05/2023,0.55
26/05/2023,1.26
30/05/2023,-0.22
31/05/2023,-0.43
01/06/2023,-1.07
02/06/2023,-1.11
05/06/2023,-0.04
06/06/2023,1.1
07/06/2023,0.73
08/06/2023,1.09
09/06/2023,-0.09
12/06/2023,-2.95
13/06/2023,-0.39
14/06/2023,0.38
15/06/2023,0
16/06/2023,-0.54
20/06/2023,0.82
21/06/2023,-0.3
22/06/2023,-0.61
23/06/2023,0.25
26/06/2023,-0.19
27/06/2023,0.61
28/06/2023,0.05
29/06/2023,0.24
30/06/2023,0.56
03/07/2023,-0.38
05/07/2023,0.57
06/07/2023,0.3
07/07/2023,0.35
10/07/2023,0.53
11/07/2023,0
12/07/2023,0.4
13/07/2023,0.39
14/07/2023,-1.32
17/07/2023,-0.6
18/07/2023,0.02
19/07/2023,-0.29
20/07/2023,0.1
21/07/2023,0.38
