Date,XAU/USD_Change
02/01/2023,-0.83
03/01/2023,0.83
04/01/2023,-0.33
05/01/2023,-1.26
06/01/2023,-0.43
09/01/2023,1.89
10/01/2023,-0.6
11/01/2023,0.76
12/01/2023,1.87
13/01/2023,0.85
16/01/2023,-1.18
17/01/2023,1.95
18/01/2023,-2.15
19/01/2023,0.43
20/01/2023,-2.7
23/01/2023,0.58
24/01/2023,-1.77
25/01/2023,-1.89
26/01/2023,2.87
27/01/2023,2.89
30/01/2023,0
31/01/2023,-1.45
01/02/2023,-0.86
02/02/2023,-0.73
03/02/2023,0.67
06/02/2023,-0.89
07/02/2023,1.85
08/02/2023,-2.79
09/02/2023,-1.22
10/02/2023,2.91
13/02/2023,-0.47
14/02/2023,3.58
15/02/2023,0.57
16/02/2023,-0.83
17/02/2023,1.96
20/02/2023,2.98
21/02/2023,3.3
22/02/2023,0.04
23/02/2023,-1.8
24/02/2023,-2.42
27/02/2023,-0.66
28/02/2023,0.74
01/03/2023,-0.4
02/03/2023,1.27
03/03/2023,0.91
06/03/2023,1.22
07/03/2023,-0.02
08/03/2023,0.25
09/03/2023,-0.38
10/03/2023,-0.68
13/03/2023,-0.09
14/03/2023,0.44
15/03/2023,1.08
16/03/2023,0.57
17/03/2023,-0.11
20/03/2023,1.9
21/03/2023,0.55
22/03/2023,0.92
23/03/2023,-0.73
24/03/2023,0.03
27/03/2023,-0.3
28/03/2023,0.05
29/03/2023,0.82
30/03/2023,1.23
31/03/2023,-0.61
03/04/2023,-1.37
04/04/2023,0.04
05/04/2023,-1.22
06/04/2023,0.52
10/04/2023,-0.09
11/04/2023,0.21
12/04/2023,-0.1
13/04/2023,1.31
14/04/2023,0.5
17/04/2023,-1.57
18/04/2023,0.87
19/04/2023,0.18
20/04/2023,-0.31
21/04/2023,1.64
24/04/2023,0.14
25/04/2023,-0.3
26/04/2023,0.81
27/04/2023,1.01
28/04/2023,0.45
01/05/2023,0.25
02/05/2023,1.31
03/05/2023,-0.2
04/05/2023,0.8
05/05/2023,-1.09
08/05/2023,0.64
09/05/2023,-0.05
10/05/2023,0.39
11/05/2023,1.34
12/05/2023,0.24
15/05/2023,-0.45
16/05/2023,0.67
17/05/2023,0.7
18/05/2023,0.56
19/05/2023,-1.02
22/05/2023,0.73
23/05/2023,0.31
24/05/2023,0.47
25/05/2023,0.54
26/05/2023,-0.14
29/05/2023,-0.68
30/05/2023,1.27
31/05/2023,0.71
01/06/2023,-0.56
02/06/2023,-0.55
05/06/2023,0.81
06/06/2023,0.01
07/06/2023,-0.3
08/06/2023,1.04
09/06/2023,0.24
12/06/2023,-2.19
13/06/2023,-0.26
14/06/2023,0.16
15/06/2023,-1.23
16/06/2023,-1.35
19/06/2023,0.9
20/06/2023,1.31
21/06/2023,0.98
22/06/2023,0.03
23/06/2023,-0.67
26/06/2023,0.24
27/06/2023,0.17
28/06/2023,-0.55
29/06/2023,0.48
30/06/2023,0.21
03/07/2023,0.14
04/07/2023,0.25
05/07/2023,-3.22
06/07/2023,1.61
07/07/2023,0.74
10/07/2023,0.7
11/07/2023,0.75
12/07/2023,1.99
13/07/2023,-0.19
14/07/2023,-0.29
17/07/2023,-0.9
18/07/2023,-0.88
19/07/2023,-2.37
20/07/2023,-0.86
21/07/2023,1.8
24/07/2023,-3.07
25/07/2023,0.26
26/07/2023,0.05
27/07/2023,-0.32
28/07/2023,-1.52
31/07/2023,0.4
01/08/2023,1.21
02/08/2023,-0.21
03/08/2023,0.44
04/08/2023,0.67
07/08/2023,-1.12
08/08/2023,1.06
09/08/2023,-0.02
10/08/2023,1.03
11/08/2023,0.72
14/08/2023,0.46
15/08/2023,0.37
16/08/2023,-0.19
17/08/2023,1.01
18/08/2023,0.83
21/08/2023,-0.54
22/08/2023,-0.82
23/08/2023,-0.33
24/08/2023,-0.14
25/08/2023,-0.07
28/08/2023,-0.19
29/08/2023,1.08
30/08/2023,-0.88
31/08/2023,-0.46
01/09/2023,0.5
04/09/2023,0
05/09/2023,1.08
06/09/2023,0.25
07/09/2023,1.37
08/09/2023,1.08
11/09/2023,-0.42
12/09/2023,-0.51
13/09/2023,0.24
14/09/2023,0.69
15/09/2023,1.88
18/09/2023,-0.19
19/09/2023,0.43
20/09/2023,0.33
21/09/2023,-0.77
22/09/2023,0.89
25/09/2023,0.06
26/09/2023,-0.26
27/09/2023,-0.15
28/09/2023,-0.72
29/09/2023,0.76
02/10/2023,-0.88
03/10/2023,0.31
04/10/2023,0.19
05/10/2023,1.16
06/10/2023,-1.14
09/10/2023,-0.07
10/10/2023,0.39
11/10/2023,-0.13
12/10/2023,2.08
13/10/2023,0.35
16/10/2023,-0.71
17/10/2023,-0.29
18/10/2023,1.7
19/10/2023,0.17
20/10/2023,1.9
23/10/2023,-0.33
24/10/2023,-0.76
25/10/2023,-1.46
26/10/2023,-0.09
27/10/2023,-0.11
30/10/2023,1.65
31/10/2023,1.04
01/11/2023,-0.09
02/11/2023,0.89
03/11/2023,-1.38
06/11/2023,-0.48
07/11/2023,0.48
08/11/2023,-0.13
09/11/2023,-1.81
10/11/2023,-0.55
13/11/2023,-0.41
14/11/2023,1.92
15/11/2023,0.45
16/11/2023,-0.15
17/11/2023,1.84
20/11/2023,0.32
21/11/2023,0.2
22/11/2023,-1.37
